Pokemon,Encounters
Growlithe-Hisuian,22
Lillipup,44
Slowbro-Galarian,74
Meowth,56
Panpour,75
Binacle,58
Barboach,81
Pumpkaboo-Average,46
Applin,170
Tangela,73
Qwilfish,60
Lileep,170
Mimikyu,68
Bastiodon,174
Archaludon,60
Centiskorch,62
Dottler,61
Meowstic ♂,60
Bounsweet,63
Stonjourner,17
Tangrowth,63
Houndstone,53
Mega Pidgeot,57
Poochyena,68
Tyrogue,77
Sentret,70
Pawmo,68
Natu,72
Bramblin,56
Milotic,181
Skarmory,22
Mareep,41
Malamar,79
Muk,62
Nidorina,45
Klawf,56
Spearow,67
Spewpa,56
Heracross,15
Hypno,76
Goomy,24
Ninjask,194
Armaldo,162
Chewtle,72
Golett,78
Elgyem,79
Spheal,47
Volcanion,16
Dunsparce,72
Heatmor,66
Rotom-Mow,52
Archeops,56
Electrode-Hisuian,66
Muk-Alolan,80
Croagunk,76
Revavroom -Navi,55
Thwackey,36
Mega Slowbro,74
Serperior,41
Delphox,41
Lycanroc (Dusk),54
Altaria,182
Cresselia,26
Absol,56
Trevenant,61
Barbaracle,62
Gliscor,63
Psyduck,66
Magnezone,68
Lopunny,56
Smoliv,40
Cyclizar,36
Marshtomp,45
Cinderace,53
Arboliva,43
Clefairy,96
Purrloin,84
Mega Mawile,101
Rapidash-Galarian,78
Servine,49
Mr. Mime-Galarian,70
Mega Blaziken,57
Ursaluna,65
Cascoon,66
Lycanroc (Midnight),56
Deoxys,14
Zebstrika,68
Braixen,52
Leavanny,44
Seismitoad,53
Marill,91
Whirlipede,57
Buizel,79
Mega Altaria,175
Hoppip,46
Skuntank,62
Kingdra,61
Aerodactyl,20
Zoroark,48
Emolga,61
Duraludon,60
Magcargo,74
Pumpkaboo-Small,61
Great Tusk,14
Dartrix,48
Drampa,73
Oricorio-Pom Pom,69
Castform-Rainy,74
Sawsbuck,52
Arbok,70
Geodude,44
Karrablast,71
Falinks,72
Brute Bonnet,22
Corsola,90
Wigglytuff,95
Alcremie,75
Farigiraf,78
Mawile,99
Ledian,99
Ariados,104
Lumineon,160
Wimpod,56
Fennekin,36
Froslass,66
Chi-Yu,20
Surskit,63
Aegislash-Shield,60
Pawmi,67
Sandshrew,66
Obstagoon,65
Tandemaus,89
Vaporeon,74
Grafaiai,44
Toxapex,70
Staravia,35
Scatterbug,79
Dolliv,44
Indeedee-Female,93
Phanpy,77
Orbeetle,74
Nymble,68
Nosepass,74
Arceus-Ground,24
Spidops,183
Darmanitan,52
Nuzleaf,52
Swablu,171
Drifblim,160
Inteleon,53
Dudunsparce,66
Eternamax Eternatus,17
Pumpkaboo-Large,90
Unown,71
Gligar,53
Klinklang,55
Mothim,64
Mismagius,82
Audino,125
Chansey,107
Archen,71
Snivy,46
Lechonk,64
Gulpin,137
Perrserker,68
Dipplin,194
Ivysaur,47
Marowak,55
Raticate,72
Cofagrigus,62
Cranidos,198
Tyrantrum,70
Vileplume,50
Trumbeak,74
Minccino,99
Rattata,57
Espurr,55
Orthworm,19
Spinda,108
Amoonguss,76
Rotom-W,62
Grumpig,86
Croconaw,55
Larvitar,17
Lilligant,66
Pikachu,53
Dewpider,47
Banette,81
Zapdos,18
Anorith,194
Mabosstiff,45
Feraligatr,51
Grimer-Alolan,68
Scizor,64
Toedscool,51
Sylveon,66
Krookodile,53
Azurill,95
Cradily,158
Breloom,146
Porygon2,58
Beheeyem,67
Bellossom,48
Kricketune,49
Sandile,59
Typhlosion,46
Mega Lucario,45
Chandelure,58
Zangoose,169
Munna,107
Steelix,51
Shuckle,40
Shedinja,158
Dusclops,82
Salazzle,57
Sandslash-Alolan,63
Mega Glalie,59
Empoleon,52
Marowak-Alolan,68
Probopass,62
Ledyba,88
Cherubi,71
Gengar,47
Klang,55
Conkeldurr,46
Kangaskhan,72
Girafarig,67
Torkoal,65
Caterpie,71
Polteageist,70
Blitzle,66
Revavroom -Segin,76
Purugly,92
Iron Bundle,17
Exploud,48
Copperajah,62
Solrock,104
Cinccino,126
Makuhita,126
Inkay,44
Haunter,47
Lurantis,66
Charjabug,81
Loudred,35
Nickit,89
Furret,72
Drifloon,160
Maractus,79
Yanma,60
Mega Audino,92
Appletun,168
Dugtrio,62
Seviper,137
Diglett-Alolan,60
Primarina,43
Quaxwell,42
Raticate-Alolan,58
Lickitung,63
Minior-Core,53
Camerupt,58
Corphish,127
Morpeko,68
Glaceon,75
Bergmite,74
Rowlet,39
Piloswine,21
Virizion,19
Sinistcha,74
Mew,58
Hippopotas,21
Cramorant,70
Crobat,75
Shaymin-Sky form,55
Scolipede,47
Arctovish,29
Beartic,70
Krokorok,51
Yanmega,60
Drilbur,71
Lycanroc (Midday),62
Snom,72
Swirlix,65
Staryu,17
Scovillain,84
Axew,24
Gumshoos,80
Kingler,70
Grovyle,37
Slowking-Galarian,71
Voltorb,62
Sunflora,64
Noctowl,67
Quaxly,51
Gourgeist-Large,66
Huntail,191
Brionne,57
Ribombee,71
Carkol,52
Seaking,69
Lickilicky,80
Naclstack,47
Dubwool,71
Lunatone,96
Starmie,17
Drednaw,53
Revavroom -Schedar,60
Magneton,77
Decidueye,44
Oricorio-Baile,61
Darumaka-Galarian,63
Doublade,76
Gloom,45
Zacian,17
Farfetch'd-Galarian,74
Aipom,101
Shinx,45
Slowbro,67
Dragalge,64
Rampardos,168
Frillish,76
Bronzong,64
Chimecho,91
Kabutops,76
Aromatisse,59
Froakie,44
Arceus-Rock,23
Cleffa,103
Toxicroak,82
Masquerain,77
Cryogonal,63
Dodrio,69
Hitmonchan,87
Golem,45
Oddish,46
Floatzel,58
Plusle,71
Mime Jr.,66
Happiny,88
Watchog,73
Boldore,48
Cottonee,81
Greedent,73
Kingambit,71
Druddigon,61
Squawkabilly -Yellow/White,158
Oricorio-Pa'u,63
Mega Beedrill,77
Meditite,60
Shellos,55
Pignite,39
Roselia,48
Sewaddle,57
Mudsdale,50
Zigzagoon,64
Shuppet,99
Ferrothorn,63
Tarountula,169
Tsareena,48
Volbeat,184
Noivern,65
Stunfisk,74
Hoopa-Confined,21
Ducklett,77
Helioptile,73
Rabsca,80
Brambleghast,79
Barraskewda,31
Basculegion-Male,71
Skeledirge,45
Linoone,68
Clefable,87
Slugma,58
Kirlia,17
Carvanha,24
Revavroom,69
Rotom-H,69
Seadra,58
Crawdaunt,133
Simipour,58
Machoke,57
Litten,41
Togekiss,97
Dewgong,52
Runerigus,73
Gorebyss,163
Skitty,76
Tynamo,15
Vulpix-Alolan,78
Gogoat,62
Sinistea,75
Tropius,18
Espeon,75
Blacephalon,19
Bouffalant,72
Charizard,48
Bidoof,67
Mega Medicham,65
Zubat,71
Klink,55
Raboot,55
Ralts,20
Claydol,64
Flaaffy,59
Impidimp,50
Pyukumuku,82
Hoothoot,67
Weavile,41
Whiscash,71
Avalugg-Hisuian,69
Omastar,87
Terapagos -Stellar Form,19
Nincada,179
Frogadier,32
Milcery,69
Incineroar,54
Baxcalibur,25
Woobat,78
Samurott-Hisuian,47
Ursaluna -Bloodmoon,68
Lucario,54
Illumise,152
Blastoise,40
Golbat,53
Onix,63
Kleavor,66
Glimmet,47
Gourgeist-Super,73
Overqwil,57
Chingling,101
Slither Wing,24
Escavalier,60
Zorua,45
Vulpix,61
Wormadam-Trash,65
Tinkatink,42
Silvally-Normal,26
Blissey,100
Sirfetch'd,73
Gabite,19
Castform,54
Gible,16
Voltorb-Hisuian,51
Chien-Pao,16
Mega Charizard X,50
Sandaconda,75
Wooper,62
Squawkabilly -Green/Blue,192
Hydrapple,166
Oinkologne-M,73
Silvally-Bug,22
Spoink,101
Sudowoodo,63
Corviknight,40
Stunky,48
Azumarill,89
Diggersby,74
Mega Camerupt,71
Steenee,48
Venonat,63
Silvally-Ghost,18
Mega Sceptile,46
Wooper -Paldean,66
Scyther,67
Gastly,57
Wurmple,68
Tyranitar,17
Grimer,71
Dustox,83
Ultra Necrozma,24
Chesnaught,56
Walrein,33
Snubbull,109
Silicobra,66
Dhelmise,68
Scrafty,82
Rockruff,77
Revavroom -Caph,56
Parasect,78
Cutiefly,71
Basculegion-Female,64
Gothita,44
Shiftry,61
Tirtouga,77
Pheromosa,11
Mega Steelix,68
Poliwrath,47
Cherrim-Overcast,76
Corsola-Galarian,116
Pichu,70
Ferroseed,77
Yamask,57
Shellder,22
Jigglypuff,82
Lugia,22
Zacian-Crowned,15
Staraptor,62
Flygon,51
Mega Ampharos,53
Yamask-Galarian,73
Clamperl,170
Thievul,101
Bellsprout,44
Pancham,66
Glimmora,57
Graveler-Alolan,47
Abra,36
Wailmer,149
Jellicent,73
Exeggcute,15
Pawmot,71
Arceus-Normal,19
Budew,55
Dewott,44
Flapple,167
Victreebel,50
Petilil,59
Capsakid,63
Morgrem,65
Mega Abomasnow,22
Slowking,55
Spinarak,70
Dwebble,66
Wingull,54
Mankey,60
Vibrava,53
Meowscarada,32
Misdreavus,105
Meltan,22
Darmanitan Zen,51
Linoone-Galarian,64
Poliwag,48
Maschiff,48
Vanillish,19
Delcatty,96
Terapagos -Terastal Form,16
Whismur,39
Chatot,52
Flareon,54
Swalot,133
Porygon-Z,67
Slowpoke,69
Deoxys-Speed,20
Shelmet,70
Goldeen,60
Beldum,27
Sandshrew-Alolan,93
Crabrawler,73
Rhyhorn,20
Crabominable,73
Tornadus-T,14
Silvally-Rock,21
Rapidash,62
Uxie,22
Mega Banette,99
Simisage,63
Unfezant,37
Rotom,72
Tranquill,52
Quilava,52
Slowpoke-Galarian,79
