Pokemon,Shiny Encounters
Luvdisc,6
Patrat,8
Unown,8
Sewaddle,3
Annihilape,4
Crawdaunt,8
Slowpoke,8
Glaceon,4
Lycanroc (Midnight),3
Purrloin,8
Mega Audino,10
Bounsweet,7
Snom,6
Yamper,15
Swablu,17
Applin,23
Hoppip,9
Wooloo,7
Feebas,30
Audino,10
Dewpider,4
Mankey,6
Seel,5
Spheal,8
Ninjask,5
Growlithe,1
Binacle,3
Oricorio-Sensu,1
Golett,7
Oricorio-Pa'u,1
Stunfisk,6
Pumpkaboo-Average,7
Toxicroak,5
Karrablast,5
Squawkabilly -Green/Blue,13
Morpeko,8
Nincada,17
Volbeat,13
Ampharos,2
Sinistea,7
Pumpkaboo-Small,3
Pancham,9
Vulpix,6
Nickit,8
Meowth-Galarian,12
Happiny,5
Clamperl,27
Rhyperior,1
Persian-Alolan,5
Ledyba,9
Palossand,3
Watchog,13
Wooper -Paldean,9
Fearow,4
Magnemite,5
Aegislash-Shield,3
Doublade,3
Numel,5
Corsola-Galarian,6
Azurill,9
Indeedee-Female,2
Yungoos,6
Togepi,12
Vigoroth,2
Swirlix,6
Sandygast,4
Nosepass,12
Mudkip,2
Finneon,16
Weezing,3
Vaporeon,3
Ferroseed,11
Joltik,3
Rockruff,5
Marowak-Alolan,5
Mega Medicham,3
Skitty,11
Minccino,11
Mareep,11
Woobat,8
Taillow,5
Scatterbug,6
Nidorina,3
Ekans,8
Impidimp,11
Delibird,1
Doduo,4
Gloom,5
Sandshrew-Alolan,8
Meowth-Alolan,11
Vivillon,1
Meowth,4
Venonat,4
Dolliv,2
Shinx,3
Plusle,3
Dewott,1
Pawmi,6
Flamigo,1
Cherrim-Sunshine,7
Sunkern,7
Jigglypuff,6
Kabuto,1
Lotad,5
Darumaka,4
Mega Salamence,2
Pidove,5
Grimmsnarl,3
Squawkabilly -Yellow/White,18
Sandslash-Alolan,3
Barboach,7
Arbok,3
Arctovish,1
Spritzee,14
Swalot,4
Staraptor,2
Quilladin,2
Persian,2
Milcery,8
Gulpin,14
Shroomish,6
Linoone,4
Hoothoot,8
Noctowl,3
Skrelp,6
Teddiursa,2
Machop,2
Oddish,5
Blitzle,8
Zigzagoon,9
Flabébé,5
Magneton,3
Ultra Necrozma,3
Ducklett,7
Lilligant,3
Musharna,5
Grookey,2
Poochyena,7
Varoom,2
Grimer-Alolan,7
Fletchling,6
Anorith,4
Spinarak,5
Dachsbun,3
Honedge,8
Spewpa,3
Morelull,8
Panpour,8
Smoliv,9
Slowbro-Galarian,4
Cufant,6
Spoink,9
Horsea,6
Pansear,6
Tarountula,11
Eelektrik,1
Skiploom,4
Natu,6
Walrein,1
