Pokemon,Encounters
Slowbro,3686
Mega Camerupt,3552
Jolteon,3567
Grimmsnarl,3644
Beautifly,3581
Trevenant,3623
Koffing,3561
Unfezant,2560
Rapidash-Galarian,3584
Misdreavus,5237
Throh,3602
Spoink,5247
Barboach,3568
Enamorus-I,1005
Klang,2522
Blipbug,3562
Chimecho,5228
Roggenrola,2624
Porygon2,3611
Rhydon,1091
Mega Houndoom,1025
Arboliva,2593
Vulpix,3606
Meowth,3727
Rampardos,9229
Regice,1015
Yungoos,3617
Dunsparce,3617
Drampa,3652
Azurill,5192
Rolycoly,2581
Oricorio-Pa'u,3705
Machop,2542
Flapple,9348
Alomomola,5279
Sandshrew-Alolan,3669
Hydreigon,1079
Teddiursa,3594
Indeedee-Female,5211
Arceus-Fighting,1019
Swadloon,2571
Espurr,3569
Yanmega,3692
Fomantis,3506
Comfey,5181
Marowak-Alolan,3604
Hippowdon,1063
Scorbunny,2542
Applin,9340
Sizzlipede,3577
Honedge,3556
Spidops,9292
Granbull,5215
Shroomish,7166
Purugly,5160
Huntail,9252
Audino,5016
Corviknight,2562
Infernape,2550
Mega Altaria,9270
Mega Banette,5018
Crobat,3600
Clamperl,9331
Aurorus,3790
Vibrava,2655
Duskull,5145
Toxel,2689
Corsola,5125
Meloetta-Pirouette,1033
Crabrawler,3622
Cyclizar,2598
Sandaconda,3602
Lilligant,3566
Sudowoodo,3513
Bisharp,3684
Indeedee-Male,5035
Snubbull,5178
Accelgor,3621
Magcargo,3623
Toxapex,3672
Archeops,3602
Skiddo,3652
Krookodile,2522
Chingling,5236
Arceus-Water,1045
Finneon,9296
Gengar,2624
Kabuto,3552
Volbeat,9419
Qwilfish-Hisuian,3534
Silvally-Electric,1050
Tarountula,9349
Raichu-Alolan,3671
Phione,987
Cradily,9232
Pikipek,3604
Scrafty,3609
Skeledirge,2565
Meditite,3653
Pachirisu,3647
Klefki,5230
Vanilluxe,1059
Revavroom -Caph,3605
Illumise,7200
Hydrapple,9289
Togedemaru,3598
Iron Jugulis,1078
Riolu,2561
Tinkatink,2641
Zangoose,9235
Politoed,2570
Mareep,2570
Veluza,5159
Scovillain,3635
Ferroseed,3605
Tadbulb,3661
Vulpix-Alolan,3650
Goomy,980
Mega Medicham,3596
Skuntank,3538
Klink,2549
Armaldo,9085
Sneasel,2525
Cetoddle,2518
Woobat,3708
Malamar,3620
Smeargle,5146
Lileep,9236
Spiritomb,3634
Zigzagoon,3572
Weezing-Galarian,3565
Drednaw,3660
Pecharunt,975
Igglybuff,5218
Jangmo-o,1005
Rookidee,2581
Chansey,5215
Charjabug,3537
Amoonguss,3637
Trumbeak,3593
Skitty,5236
Slowpoke-Galarian,3746
Raboot,2495
Garganacl,2598
Wailord,7384
Gulpin,7209
Thundurus-I,1038
Nidoran♂,2519
Smoochum,3656
Watchog,3664
Pansear,3596
Carracosta,3692
Simisage,3723
Delcatty,5154
Lycanroc (Midday),3665
Wormadam-Plant,3656
Growlithe,972
Floatzel,3644
Kecleon,2500
Squawkabilly -Green/Blue,9422
Marshtomp,2567
Kangaskhan,3640
Roserade,2527
Rotom-Mow,3637
Corphish,7379
Phanpy,3597
Lilligant-Hisuian,3588
Lillipup,2629
Centiskorch,3643
Bonsly,3667
Sinistea,3644
Kingdra,3649
Cubone,3610
Ninjask,9142
Inkay,3642
Probopass,3561
Houndoom,1042
Sawsbuck,3563
Fletchling,2631
Oddish,2472
Dusknoir,5150
Luvdisc,5181
Milotic,9391
Venomoth,3614
Bruxish,3678
Mega Salamence,1081
Noctowl,3581
Conkeldurr,2651
Umbreon,3638
Porygon,3590
Wigglytuff,5014
Dusclops,5236
Wishiwashi-School,5117
Beedrill,3529
Farfetch'd-Galarian,3684
Yamper,5189
Lumineon,9237
Mr. Mime-Galarian,3613
Deoxys-Attack,1057
Boltund,5167
Shelmet,3634
Wooper -Paldean,3582
Dachsbun,2636
Poochyena,3494
Mew,2505
Meowstic ♂,3548
