Pokemon,Encounters
Stunfisk,568183
Raichu-Alolan,569587
Herdier,406809
Marshtomp,406019
Cottonee,568786
Slowbro-Galarian,568691
Greavard,405987
Weezing,567217
Venomoth,568019
Mega Ampharos,405789
Mega Charizard Y,406315
Cresselia,161923
Probopass,568648
Crawdaunt,1137222
Flittle,405858
Meowscarada,405677
Zangoose,1461711
Pidgeot,405149
Shiftry,406051
Klang,406399
Cranidos,1463015
Mega Mawile,812635
Natu,568074
Spewpa,568078
Nihilego,162168
Krabby,569411
Ogerpon -Wellspring Mask,162464
Shuppet,810645
Loudred,407223
Vanillite,162569
Smeargle,811884
Cursola,812076
Barboach,567467
Poliwag,405230
Armaldo,1462574
Silvally-Dragon,161955
Lopunny,568271
Petilil,569572
Aipom,811926
Kricketune,406811
Bruxish,567552
Rockruff,570238
Yungoos,568128
Chesnaught,405136
Palossand,567638
Ledian,813780
Frigibax,162770
Slurpuff,568567
Camerupt,568907
Bonsly,568445
Gallade,163221
Sobble,405719
Wynaut,567721
Glameow,812104
Archen,568272
Corvisquire,406930
Heracross,163308
Grovyle,407270
Finneon,1462027
Metapod,567163
Revavroom -Ruchbah,567303
Ponyta,568942
Fennekin,405857
Azelf,161822
Yamper,814188
Litwick,405515
Snorunt,568494
Lycanroc (Midday),569050
Rotom-W,568694
Shroomish,1137854
Espathra,405657
Thwackey,405877
Milotic,1462739
Bronzor,568425
Darmanitan,405346
Maushold,814086
Dragalge,569792
Musharna,812203
Ninetales,568344
Clamperl,1460852
Jynx,569052
Dustox,568538
Munna,812480
Simisear,568773
Iron Treads,161809
Rapidash-Galarian,568669
Avalugg,570319
Lumineon,1461823
Jellicent,568328
Cofagrigus,568833
Klawf,568974
Misdreavus,811143
Kingler,568605
Arrokuda,162439
Oricorio-Baile,568105
Dusknoir,811826
Zoroark-Hisuian,405455
Annihilape,567457
Bibarel,568709
Aurorus,567681
Deoxys-Speed,162733
Bellibolt,568008
Mega Altaria,1461850
Quaxly,407306
Chimchar,405429
Appletun,1462785
Fletchling,406944
Graveler,406291
Cherrim-Overcast,569503
Breloom,1137755
Ash-Greninja,406885
Mareanie,568180
Whismur,406518
Boltund,812381
Lunatone,812404
Combusken,407088
Horsea,569537
Pawniard,569688
Lilligant-Hisuian,568938
Politoed,406125
Silicobra,569078
Arceus-Steel,162908
Porygon-Z,567409
Mr. Mime,569054
Ultra Necrozma,162104
Chikorita,406836
Smoliv,405500
Zigzagoon,568393
Omastar,567575
Shiinotic,569296
Pelipper,567928
Porygon2,568009
Umbreon,568665
Ninjask,1462597
Corphish,1137317
Dewgong,566743
Vigoroth,161852
Bastiodon,1461251
Amaura,568468
Grumpig,812804
Flygon,405203
Rillaboom,405481
Ponyta-Galarian,567983
Kirlia,162041
Mudkip,406913
Scatterbug,568711
Jigglypuff,812401
Watchog,568159
Runerigus,567788
Urshifu-Rapid Strike,161776
Slowbro,568674
Mamoswine,162354
Minun,567838
Pyroar,405465
Seel,568888
Wigglytuff,813130
Snivy,406223
Drifblim,1135871
Lileep,1463233
Huntail,1462955
Spearow,571949
Togekiss,813947
Typhlosion,406636
Plusle,568670
Noibat,569797
Mareep,406678
Squawkabilly -Green/Blue,1463416
Seviper,1135328
Mudsdale,569201
Phione,163325
Sandslash,569783
Morelull,568117
Chinchou,162470
Darmanitan Zen,405902
Sinistcha,567219
Tepig,407257
Centiskorch,568819
Xerneas,163014
Toedscool,405551
Bellossom,406151
Fezandipiti,163375
Hariyama,1138413
Torchic,404960
Drowzee,568794
Grotle,406264
Growlithe-Hisuian,162036
Dracovish,162105
Regice,162293
Decidueye,406280
Sandshrew-Alolan,567802
Flapple,1463602
Surskit,569342
Cleffa,809166
Panpour,569504
Trumbeak,568438
Spinarak,810134
Starly,405978
Mawile,812335
Parasect,568348
Meditite,569382
Toxel,405560
Mankey,568912
Shellos,569036
Hoppip,405375
Grimer,568227
Lucario,406966
Yanmega,568200
Drifloon,1138229
Simipour,567435
Litten,406474
Meowstic ♀,568581
Chandelure,406502
Torracat,406728
Dottler,567870
Bouffalant,567531
Magneton,568418
Raboot,406745
Liepard,568415
Ursaluna,568813
Luxray,406477
Omanyte,568703
Rotom-Mow,568087
Vibrava,404820
Spoink,811622
Barbaracle,570061
Cradily,1459531
Wooper -Paldean,567107
Wobbuffet,566117
Mega Banette,812609
Dedenne,569503
Durant,568533
Mega Medicham,569025
Rellor,811896
Sneasel-Hisuian,406169
Diancie,161733
Persian-Alolan,567977
Forretress,569593
Nymble,570343
Flamigo,406523
Lombre,404685
Orbeetle,569086
Froslass,569411
Dudunsparce,568741
Tyrunt,568648
Charmeleon,405761
Glaceon,568945
Azumarill,812198
Meowth-Alolan,567766
Woobat,568591
Houndour,162127
Feebas,1461869
Illumise,1138203
Goldeen,568905
Cutiefly,569075
Deerling,569275
Purugly,811657
Inkay,568946
Nidoran♀,405892
Combee,406039
Dhelmise,569060
Zeraora,162211
Blaziken,406060
Lycanroc (Midnight),568342
Clauncher,162544
Ampharos,405182
Glalie,567641
Chatot,406164
Ambipom,810740
Typhlosion-Hisuian,406711
Keldeo,162257
Goodra-Hisuian,162243
Purrloin,567220
Shaymin-Sky form,405954
Tinkatuff,405514
Mega Charizard X,405859
Azurill,812263
Nidorina,406355
Clefairy,813301
Pansear,567774
Meowth,566220
Comfey,811174
Monferno,406969
Clefable,811739
Reshiram,162344
Mega Beedrill,568275
Crobat,568327
Larvitar,163049
Bewear,569654
Lugia,162545
Excadrill,568217
Solrock,812800
Chespin,406063
Eldegoss,568532
Mr. Rime,568287
Nickit,811634
Galvantula,567687
Gliscor,405670
Yamask,568652
Vivillon,567729
Braviary,162296
Applin,1462884
Quilava,405732
Dialga-Orgin,162107
Emolga,568772
Eevee,568066
Honedge,568725
Basculegion-Male,569254
Vulpix,567554
Lampent,405802
Pecharunt,162723
Garganacl,405719
Wailord,1136832
Hawlucha,568528
Minior-Meteor,405939
Dragonite,162255
Latios,162237
Skrelp,567756
Cacnea,406191
Stantler,162453
Audino,811666
Dugtrio,568019
Quagsire,568207
Drizzile,406085
Ogerpon -Cornerstone Mask,162198
Mega Latios,162877
Silvally-Normal,162102
Quaquaval,406124
Basculin (Blue-Striped),568027
Cufant,568692
Veluza,812091
Lycanroc (Dusk),568530
Rapidash,568389
Linoone-Galarian,569744
Vaporeon,568649
Druddigon,568224
Persian,569297
Skiddo,568109
Okidogi,162432
Zorua-Hisuian,406004
Butterfree,568564
Kricketot,406958
Swampert,405884
Silvally-Flying,161997
Varoom,568447
Impidimp,569369
Swalot,1136324
Walrein,406190
Marowak,568620
Komala,162564
Dipplin,1460559
Salazzle,568917
Scovillain,568798
Mega Gardevoir,162268
Koraidon,162120
Staryu,162696
Gourgeist-Super,568391
Weedle,568910
Skwovet,568147
Sunkern,406048
Lickitung,567850
Kangaskhan,567989
Furfrou,567906
Clobbopus,405618
Golurk,566753
Lickilicky,568587
Turtwig,406825
Igglybuff,813382
Revavroom -Segin,569561
Oricorio-Sensu,566682
Victini,161931
Marill,812453
Wishiwashi-School,809580
Weezing-Galarian,568443
Dubwool,567142
Magnezone,568775
Cubone,568330
Ditto,568689
Toxtricity,405907
Zoroark,406053
Mr. Mime-Galarian,568655
Empoleon,405756
Pangoro,568892
Stunky,567796
Mega Camerupt,567850
Dewpider,569458
Shinx,405314
Granbull,810366
Koffing,569517
Venonat,569119
Ducklett,568473
Revavroom -Schedar,568511
Foongus,568728
Maschiff,406063
Accelgor,568035
Buneary,568072
Grapploct,406067
Flaaffy,406136
Spinda,812535
Fearow,568942
Pancham,568566
Grimmsnarl,567696
Indeedee-Female,812051
Pawmi,568020
Pidove,405716
Sharpedo,162435
Tandemaus,812954
Cobalion,162629
Sandshrew,568358
Dusclops,810790
Volbeat,1461532
Nidoking,405809
Slowking-Galarian,568616
Castform,567942
Gurdurr,405759
Polteageist,569358
Magmortar,568610
Meganium,406553
Abra,405128
Araquanid,568239
Nincada,1463204
Voltorb-Hisuian,568070
Blissey,811218
Baltoy,570045
Hitmonlee,567985
Copperajah,567922
Indeedee-Male,813291
Krookodile,405145
Ogerpon,162542
Wattrel,405782
Noctowl,568472
Drednaw,567939
Minccino,812172
Archeops,567327
Beheeyem,568627
Rabsca,810655
Chi-Yu,161842
Pumpkaboo-Super,568650
Arceus-Ground,162462
Darumaka,406761
Bulbasaur,406695
Noivern,567408
Beartic,569454
Alakazam,405746
Shedinja,1460268
Steelix,568455
Mightyena,568588
Muk-Alolan,567596
Rufflet,161734
Enamorus-T,162295
Chimecho,812644
Grimer-Alolan,568936
Totodile,405981
Tinkaton,405297
Togedemaru,568984
Furret,568074
Mega Latias,162549
Farfetch'd-Galarian,567851
Pumpkaboo-Large,568218
Drampa,569047
Piplup,406280
Squawkabilly -Yellow/White,1462728
Snom,568143
Alcremie,569507
Psyduck,567387
Espurr,567857
Cascoon,568759
Munkidori,161709
Doublade,568850
Charjabug,567817
Unfezant,404554
Heatmor,569379
Hatenna,162446
Leavanny,407654
Kakuna,568208
Hypno,567634
Palkia-Orgin,162323
Rowlet,406170
Joltik,567318
Sudowoodo,569302
Tornadus-I,162032
Drilbur,568438
Gothorita,406138
Dragonair,163049
Magmar,568930
Kleavor,568143
Gourgeist-Average,568542
Shieldon,1460621
Pignite,405664
Qwilfish-Hisuian,569057
Gumshoos,568980
Arceus-Fairy,162027
Remoraid,567556
Meowth-Galarian,568576
Aromatisse,568918
Roselia,406831
Aerodactyl,162681
Passimian,162384
Torkoal,567865
Hydrapple,1460646
Crabrawler,568041
Whimsicott,567425
Zigzagoon-Galarian,567576
Mega Mewtwo X,162903
Conkeldurr,406609
Morgrem,567954
Mega Sceptile,406205
Shelgon,161557
Gourgeist-Large,567113
Pachirisu,569233
Walking Wake,162731
Sawsbuck,568204
Brambleghast,568397
Venusaur,406592
Golduck,567868
Hippowdon,162682
Cramorant,568090
Slugma,568183
Kabuto,568539
Ferrothorn,567597
Slowpoke-Galarian,568110
Vulpix-Alolan,568331
Kabutops,568176
Golisopod,568919
Hitmonchan,568211
Tympole,406164
Mega Sableye,406543
Frosmoth,569241
Lillipup,407178
Exeggcute,161616
Lapras,162048
Cyndaquil,405765
Gastrodon,568367
Fidough,406367
Anorith,1463146
Elgyem,568471
Garbodor,568468
Exeggutor,162453
Venipede,407385
Delcatty,811897
White Kyurem,161952
Tatsugiri,406099
Pikipek,568158
Obstagoon,568154
Mega Tyranitar,162060
Spidops,1462515
Flutter Mane,161968
Turtonator,568281
Rotom-Fan,568544
Tarountula,1463111
Kommo-o,162583
Swablu,1462232
Skorupi,162491
Regieleki,161871
Silvally-Fairy,162248
Skitty,812298
Groudon,162848
Qwilfish,569839
Kadabra,406152
Mismagius,811037
Drakloak,162087
Swirlix,568086
Trevenant,568519
Raichu,567984
Ursaring,569389
Hoothoot,569373
Cyclizar,407253
Meowstic ♂,569004
Victreebel,405834
Arctozolt,162551
Scizor,567375
Cherubi,568238
Arbok,568311
Oricorio-Pom Pom,568654
Kingdra,568378
Geodude-Alolan,406432
Binacle,568440
Sandygast,569300
Yamask-Galarian,569252
Perrserker,569673
Sandaconda,568256
Masquerain,568280
Talonflame,405478
Darmanitan Zen-Galarian,405777
Deoxys-Attack,162596
Scyther,568149
Crabominable,568335
Pincurchin,568834
Rattata,567414
Swadloon,406009
Rotom-H,567789
Hitmontop,568593
Hippopotas,162342
Gengar,407267
Golbat,569676
Wishiwashi-Solo,812137
Xatu,569318
Giratina,162493
Glimmet,405711
Flareon,569674
Smoochum,567799
Charizard,406464
Orthworm,162475
Sandslash-Alolan,567804
Dewott,405199
Duskull,812623
Altaria,1461321
Greedent,569068
Florges,569842
Pheromosa,162186
Haunter,406187
Clawitzer,162247
Alomomola,811307
Gulpin,1136620
Bunnelby,569313
Arceus-Normal,162669
Toxicroak,569669
Silvally-Ice,162922
Donphan,568522
Silvally-Grass,162784
Makuhita,1136635
Zebstrika,569836
Wailmer,1137706
Magby,568007
Arceus-Bug,162974
Basculin (Red-Striped),569532
Skuntank,568472
Poochyena,569185
Wingull,567576
Mantine,162403
Crustle,567373
Mega Pidgeot,406703
Mega Swampert,406568
Graveler-Alolan,406092
Brionne,406219
Toxapex,568776
Chewtle,568326
Shelmet,568217
Emboar,405079
Pawmot,568175
Finizen,162668
Blastoise,406445
Toucannon,568834
Poltchageist,569321
Rotom,569708
Skeledirge,406455
Cubchoo,567938
Vullaby,162460
Luxio,406237
Tangela,568647
Heliolisk,568942
Castform-Sunny,569000
Silvally-Steel,162684
Cosmog,162404
Silvally-Bug,162081
Mew,405603
Teddiursa,568575
Snubbull,810037
Coalossal,406383
Vanilluxe,161806
Geodude,405352
Melmetal,162821
Nidoqueen,406451
Mega Audino,812903
Grafaiai,407311
Bramblin,569782
Happiny,812304
Chingling,813546
Swoobat,568391
Dialga,162379
Revavroom,569445
Rampardos,1462868
Fraxure,162915
Reuniclus,406428
Cinccino,812840
Carvanha,162250
Genesect,161852
Pichu,569084
Roaring Moon,162209
Lechonk,568295
Tinkatink,405223
Sliggoo-Hisuian,162572
Axew,163056
Dodrio,567429
Nacli,407209
Helioptile,569607
Arceus-Fighting,162192
Chansey,812005
Capsakid,569082
Castform-Snowy,567998
Oricorio-Pa'u,569646
Phanpy,569170
Wormadam-Sandy,568740
Ferroseed,569573
Pumpkaboo-Small,568649
Bidoof,568755
Darkrai,161735
Floragato,406105
Banette,813140
Falinks,569448
Roggenrola,407227
Infernape,406018
Jumpluff,405926
Xurkitree,162175
Rockruff-Own Tempo,567892
Wiglett,568723
Klefki,812892
Gloom,404683
Miraidon,163198
Klinklang,404543
Krokorok,406372
Mothim,568120
Patrat,568443
Budew,406319
Quilladin,404488
Moltres,162225
Corsola-Galarian,812492
Sizzlipede,568293
Manectric,162391
Claydol,566664
Luvdisc,812524
Arceus-Fire,162795
Farfetch'd,569596
Silvally-Water,162164
Aggron,162599
Torterra,406613
Overqwil,567521
Muk,569819
Duosion,405191
Silcoon,569237
Malamar,570037
Mega Garchomp,162003
Pikachu,568511
Scraggy,569011
Taillow,406957
Grookey,406271
Arceus-Water,162182
Carkol,406025
Elekid,568756
Palkia,162665
Mega Blastoise,405811
Girafarig,567350
Electabuzz,567956
Kyogre,161998
Pidgey,405229
Hatterene,162742
Jolteon,569877
Darumaka-Galarian,406158
Blitzle,569207
Vikavolt,568582
Gothita,405741
Gigalith,406196
Togetic,811399
Sableye,406541
Diggersby,567724
Maractus,568399
Grubbin,568131
Gorebyss,1464072
Tapu Koko,161749
Togepi,812811
Sinistea,568873
Celesteela,162957
Magcargo,567889
Tranquill,405775
Cherrim-Sunshine,568395
Arceus-Dragon,162760
Poliwrath,405904
Gogoat,566812
Palpitoad,406118
Dugtrio-Alolan,568185
Aron,162833
Bronzong,567982
Dolliv,405119
Pansage,569098
Bergmite,567780
Regirock,162639
Minior-Core,405751
Gligar,406026
Caterpie,567934
Oinkologne-F,569236
Baxcalibur,162179
Timburr,406251
Marowak-Alolan,569839
Fomantis,567519
Numel,566971
Oranguru,163000
Porygon,567370
Decidueye-Hisuian,406449
Sirfetch'd,568470
Cryogonal,569289
Carracosta,569624
Wooloo,569049
Tauros (blaze),162849
Onix,568725
Pawmo,568523
