Pokemon,Encounters
Slowbro,379
Mega Camerupt,321
Jolteon,302
Grimmsnarl,307
Beautifly,328
Trevenant,330
Koffing,331
Unfezant,211
Rapidash-Galarian,328
Misdreavus,461
Throh,347
Spoink,454
Barboach,315
Enamorus-I,80
Klang,247
Blipbug,316
Chimecho,491
Roggenrola,232
Porygon2,320
Rhydon,96
Mega Houndoom,95
Arboliva,202
Vulpix,316
Meowth,338
Rampardos,853
Regice,93
Yungoos,321
Dunsparce,319
Drampa,337
Azurill,490
Rolycoly,225
Oricorio-Pa'u,335
Machop,208
Flapple,831
Alomomola,484
Sandshrew-Alolan,314
Hydreigon,101
Teddiursa,340
Indeedee-Female,445
Arceus-Fighting,93
Swadloon,231
Espurr,331
Yanmega,303
Fomantis,314
Comfey,458
Marowak-Alolan,314
Hippowdon,97
Scorbunny,223
Applin,834
Sizzlipede,323
Honedge,313
Spidops,889
Granbull,476
Shroomish,591
Purugly,464
Huntail,793
Audino,461
Corviknight,230
Infernape,232
Mega Altaria,845
Mega Banette,449
Crobat,297
Clamperl,840
Aurorus,342
Vibrava,268
Duskull,474
Toxel,222
Corsola,443
Meloetta-Pirouette,81
Crabrawler,328
Cyclizar,220
Sandaconda,325
Lilligant,328
Sudowoodo,310
Bisharp,345
Indeedee-Male,474
Snubbull,474
Accelgor,290
Magcargo,329
Toxapex,341
Archeops,324
Skiddo,327
Krookodile,241
Chingling,454
Arceus-Water,97
Finneon,835
Gengar,244
Kabuto,301
Volbeat,884
Qwilfish-Hisuian,285
Silvally-Electric,93
Tarountula,852
Raichu-Alolan,325
Phione,83
Cradily,823
Pikipek,304
Scrafty,317
Skeledirge,230
Meditite,330
Pachirisu,328
Klefki,468
Vanilluxe,103
Revavroom -Caph,364
Illumise,625
Hydrapple,848
Togedemaru,317
Iron Jugulis,102
Riolu,223
Tinkatink,240
Zangoose,852
Politoed,252
Mareep,226
Veluza,451
Scovillain,322
Ferroseed,327
Tadbulb,351
Vulpix-Alolan,343
Goomy,97
Mega Medicham,332
Skuntank,319
Klink,213
Armaldo,813
Sneasel,203
Cetoddle,220
Woobat,331
Malamar,325
Smeargle,432
Lileep,806
Spiritomb,340
Zigzagoon,312
Weezing-Galarian,334
Drednaw,315
Pecharunt,96
Igglybuff,447
Jangmo-o,81
Rookidee,234
Chansey,463
Charjabug,334
Amoonguss,340
Trumbeak,303
Skitty,478
Slowpoke-Galarian,308
Raboot,251
Garganacl,224
Wailord,668
Gulpin,668
Thundurus-I,89
Nidoran♂,246
Smoochum,343
Watchog,358
Pansear,344
Carracosta,339
Simisage,362
Delcatty,467
Lycanroc (Midday),315
Wormadam-Plant,348
Growlithe,95
Floatzel,330
Kecleon,213
Squawkabilly -Green/Blue,860
Marshtomp,212
Kangaskhan,307
Roserade,252
Rotom-Mow,305
Corphish,666
Phanpy,325
Lilligant-Hisuian,307
Lillipup,252
Centiskorch,288
Bonsly,312
Sinistea,344
Kingdra,355
Cubone,348
Ninjask,825
Inkay,299
Probopass,347
Houndoom,104
Sawsbuck,301
Fletchling,254
Oddish,222
Dusknoir,461
Luvdisc,480
Milotic,803
Venomoth,323
Bruxish,313
Mega Salamence,93
Noctowl,311
Conkeldurr,218
Umbreon,326
Porygon,325
Wigglytuff,456
Dusclops,475
Wishiwashi-School,465
Beedrill,331
Farfetch'd-Galarian,342
Yamper,502
Lumineon,826
Mr. Mime-Galarian,290
Deoxys-Attack,94
Boltund,414
Shelmet,335
Wooper -Paldean,304
Dachsbun,244
Poochyena,308
Mew,232
Meowstic ♂,312
Minccino,491
Arceus-Electric,99
Tangrowth,346
Altaria,875
Pawmi,323
Forretress,331
Zorua,258
Mankey,324
Buneary,315
Thievul,445
Stunfisk,298
Heliolisk,338
Poliwrath,215
Archen,342
Seismitoad,238
Meganium,228
Duosion,218
Feebas,837
Inteleon,208
Runerigus,322
Drifblim,663
Eelektrik,80
Overqwil,337
Golisopod,344
Arceus-Fairy,97
Cufant,320
Croagunk,323
Wobbuffet,330
Frogadier,235
Morpeko,334
Slowpoke,342
Bibarel,349
Dustox,347
Numel,322
Heracross,111
Goldeen,293
Trubbish,365
Cherubi,332
Foongus,335
Poltchageist,324
Toxicroak,329
Cranidos,796
Snivy,253
Exploud,246
Ursaluna,296
Braviary-Hisuian,98
Gogoat,323
Rattata,336
Eternamax Eternatus,84
Dewgong,285
Doduo,322
Zoroark-Hisuian,231
Basculin (Red-Striped),306
Fraxure,100
Tepig,243
Mienshao,233
Dondozo,82
Arceus-Steel,84
Plusle,320
Camerupt,317
Absol,228
Primeape,317
Sunkern,217
Deerling,329
Revavroom,334
Mega Sableye,233
Dottler,336
Tandemaus,451
Marowak,304
Yamask,338
Voltorb-Hisuian,343
Monferno,228
Wattrel,236
Dipplin,850
Lechonk,303
Grookey,238
Chien-Pao,93
Garchomp,83
Rockruff,329
Mega Manectric,97
Breloom,634
Skorupi,108
Carkol,243
Mantyke,92
Clefairy,431
Samurott-Hisuian,223
Zubat,323
Bellibolt,319
Hitmonlee,321
Lokix,326
Beartic,307
Mega Abomasnow,83
Torchic,212
Sunflora,229
Revavroom -Segin,351
Miltank,105
Mega Steelix,339
Ash-Greninja,262
Pangoro,334
Morgrem,321
Wartortle,235
Nincada,881
Munna,470
Mega Blaziken,258
Arcanine-Hisuian,124
Sawk,322
Rapidash,295
Sylveon,311
Silvally-Fire,89
Pelipper,363
Mawile,478
Revavroom -Ruchbah,297
Slakoth,92
Baltoy,335
Geodude,233
Cherrim-Sunshine,303
Sandygast,304
Coalossal,231
Scatterbug,316
Omanyte,383
Nidoqueen,236
Cursola,495
Ampharos,271
Pheromosa,87
Shellder,116
Mightyena,303
Noivern,310
Gliscor,237
Burmy,295
Celesteela,93
Swablu,871
Wimpod,274
Vespiquen,233
Bramblin,325
Elgyem,345
Mimikyu,327
Silvally-Dark,101
Kingambit,327
Cetitan,241
Electivire,331
Cinccino,485
