Encounter_Number,Pokemon,Catch_Successful,Is_New_Shiny
2949,Shinx,True,True
13702,Piplup,False,True
19010,Toxel,False,True
20723,Jolteon,False,True
26560,Joltik,True,True
33865,Sharpedo,True,True
44094,Carkol,False,True
49808,Hydrapple,False,True
50638,Beedrill,True,True
50778,Sandy Shocks,False,True
57823,Dugtrio-Alolan,False,True
59658,Flareon,True,True
82835,Houndoom,False,True
85373,Ledian,False,True
91077,Revavroom -Navi,False,True
104569,Forretress,False,True
108893,Arceus-Fighting,False,True
115587,Dugtrio-Alolan,False,True
119436,Floette,True,True
126989,Probopass,False,True
133811,Rookidee,True,True
138668,Palossand,False,True
142807,Hariyama,True,True
145292,Ledian,False,True
151993,Lycanroc (Dusk),False,True
153695,Porygon-Z,False,True
160820,Wobbuffet,False,True
162703,Jirachi,False,True
166578,Pineco,True,True
171872,Teddiursa,True,True
174463,Primarina,False,True
174681,Mega Sceptile,False,True
176032,Smoochum,False,True
178247,Corphish,True,True
178504,Cyndaquil,False,True
178584,Anorith,False,True
180747,Makuhita,True,True
180976,Tinkatuff,True,True
184103,Bewear,False,True
187610,Ducklett,True,True
189544,Mega Altaria,True,True
190453,Pikipek,True,True
194476,Chandelure,False,True
196074,Doduo,True,True
208917,Inteleon,False,True
209097,Quilladin,False,True
212566,Purugly,False,True
214601,Revavroom -Caph,False,True
222545,Riolu,True,True
223925,Pyukumuku,False,True
224365,Exploud,True,True
227701,Zebstrika,True,True
245802,Pikipek,True,False
250277,Bellossom,False,True
252683,Scovillain,True,True
256838,Ponyta,True,True
266342,Unown,True,True
269425,Sewaddle,True,True
275417,Smoochum,True,True
284293,Clamperl,True,True
292818,Furfrou,True,True
295712,Igglybuff,True,True
295720,Spewpa,True,True
297307,Herdier,True,True
297984,Spinda,True,True
300493,Spinarak,True,True
305423,Mega Mawile,False,True
310078,Delcatty,False,True
319996,Applin,True,True
324814,Venusaur,False,True
325040,Cyclizar,True,True
328874,Cyclizar,True,False
334008,Pincurchin,False,True
336596,Solosis,True,True
339689,Scizor,False,True
344911,Indeedee-Male,True,True
346125,Mega Pinsir,True,True
353286,Shaymin,False,True
355344,Munna,True,True
357587,Coalossal,False,True
369639,Skrelp,True,True
380699,Tarountula,True,True
384758,Cyndaquil,False,True
391922,Wugtrio,True,True
395566,Nacli,True,True
397635,Deoxys-Attack,False,True
397952,Wooloo,True,True
400683,Lucario,False,True
411321,Arceus-Normal,False,True
418041,Malamar,False,True
419993,Mega Camerupt,True,True
420280,Delibird,False,True
420672,Sirfetch'd,False,True
429772,Tepig,False,True
431293,Inkay,False,True
434518,Indeedee-Male,False,False
438976,Primeape,False,True
443392,Wishiwashi-Solo,False,True
444124,Reuniclus,False,True
450645,Mega Mawile,False,True
451440,Furret,False,True
451453,Oricorio-Sensu,True,True
451532,Appletun,False,True
451638,Electabuzz,False,True
452958,Marill,True,True
460879,Genesect,False,True
464262,Iron Treads,False,True
464405,Volbeat,False,True
