Pokemon,Encounters
Slowbro,11385
Mega Camerupt,11372
Jolteon,11238
Grimmsnarl,11355
Beautifly,11347
Trevenant,11164
Koffing,11239
Unfezant,8088
Rapidash-Galarian,11332
Misdreavus,16227
Throh,11299
Spoink,16248
Barboach,11288
Enamorus-I,3270
Klang,8016
Blipbug,11381
Chimecho,16104
Roggenrola,8240
Porygon2,11290
Rhydon,3310
Mega Houndoom,3150
Arboliva,8111
Vulpix,11162
Meowth,11542
Rampardos,28990
Regice,3179
Yungoos,11440
Dunsparce,11397
Drampa,11241
Azurill,16153
Rolycoly,7893
Oricorio-Pa'u,11486
Machop,8123
Flapple,29133
Alomomola,16446
Sandshrew-Alolan,11517
Hydreigon,3290
Teddiursa,11324
Indeedee-Female,16101
Arceus-Fighting,3228
Swadloon,7975
Espurr,11255
Yanmega,11402
Fomantis,11349
Comfey,16132
Marowak-Alolan,11543
Hippowdon,3251
Scorbunny,7944
Applin,29030
Sizzlipede,11246
Honedge,11158
Spidops,29142
Granbull,16057
Shroomish,22430
Purugly,16118
Huntail,29202
Audino,16123
Corviknight,8126
Infernape,8126
Mega Altaria,29080
Mega Banette,15924
Crobat,11312
Clamperl,29405
Aurorus,11538
Vibrava,8124
Duskull,16087
Toxel,8225
Corsola,16133
Meloetta-Pirouette,3203
Crabrawler,11352
Cyclizar,7992
Sandaconda,11110
Lilligant,11295
Sudowoodo,11043
Bisharp,11415
Indeedee-Male,15999
Snubbull,16293
Accelgor,11349
Magcargo,11420
Toxapex,11297
Archeops,11296
Skiddo,11395
Krookodile,8247
Chingling,16049
Arceus-Water,3259
Finneon,29173
Gengar,8063
Kabuto,11254
Volbeat,29486
Qwilfish-Hisuian,11253
Silvally-Electric,3124
Tarountula,29024
Raichu-Alolan,11539
Phione,3159
Cradily,29078
Pikipek,11324
Scrafty,11332
Skeledirge,8055
Meditite,11281
Pachirisu,11407
Klefki,15980
Vanilluxe,3271
Revavroom -Caph,11245
Illumise,22698
Hydrapple,28984
Togedemaru,11400
Iron Jugulis,3273
Riolu,8173
Tinkatink,8128
Zangoose,29170
Politoed,8095
Mareep,8146
Veluza,16137
Scovillain,11349
Ferroseed,11314
Tadbulb,11393
Vulpix-Alolan,11331
Goomy,3248
Mega Medicham,11361
Skuntank,11239
Klink,8091
Armaldo,29004
Sneasel,8119
Cetoddle,7905
Woobat,11376
Malamar,11259
Smeargle,16244
Lileep,29081
Spiritomb,11393
Zigzagoon,11322
Weezing-Galarian,11306
Drednaw,11442
Pecharunt,3178
Igglybuff,16415
Jangmo-o,3330
Rookidee,8027
Chansey,16174
Charjabug,11218
Amoonguss,11410
Trumbeak,11337
Skitty,16147
Slowpoke-Galarian,11246
Raboot,8109
Garganacl,8076
Wailord,22599
Gulpin,22758
Thundurus-I,3209
Nidoran♂,8008
Smoochum,11272
Watchog,11301
Pansear,11360
Carracosta,11350
Simisage,11059
Delcatty,16269
Lycanroc (Midday),11270
Wormadam-Plant,11355
Growlithe,3215
Floatzel,11419
Kecleon,8047
Squawkabilly -Green/Blue,28848
Marshtomp,8127
Kangaskhan,11312
Roserade,7958
Rotom-Mow,11192
Corphish,22515
Phanpy,11156
Lilligant-Hisuian,11160
Lillipup,8212
Centiskorch,11355
Bonsly,11300
Sinistea,11416
Kingdra,11307
Cubone,11414
Ninjask,29039
Inkay,11223
Probopass,11210
Houndoom,3247
Sawsbuck,11290
Fletchling,8121
Oddish,7954
Dusknoir,16330
Luvdisc,16285
Milotic,29161
Venomoth,11177
Bruxish,11256
Mega Salamence,3280
Noctowl,11139
Conkeldurr,7978
Umbreon,11381
Porygon,11385
Wigglytuff,15915
Dusclops,15948
Wishiwashi-School,16255
Beedrill,11288
Farfetch'd-Galarian,11387
Yamper,16059
Lumineon,28978
Mr. Mime-Galarian,11397
Deoxys-Attack,3323
Boltund,16071
Shelmet,11321
Wooper -Paldean,11472
Dachsbun,8200
Poochyena,11334
Mew,8087
Meowstic ♂,11412
Minccino,16353
Arceus-Electric,3198
Tangrowth,11465
Altaria,28926
Pawmi,11271
Forretress,11281
Zorua,8142
Mankey,11332
Buneary,11120
Thievul,15933
Stunfisk,11156
Heliolisk,11524
Poliwrath,8088
Archen,11244
Seismitoad,8147
Meganium,8077
Duosion,8002
Feebas,28968
Inteleon,7882
Runerigus,11410
Drifblim,22812
Eelektrik,3193
Overqwil,11326
Golisopod,11384
Arceus-Fairy,3250
Cufant,11356
Croagunk,11432
Wobbuffet,11325
Frogadier,8048
Morpeko,11137
Slowpoke,11230
Bibarel,11350
Dustox,11387
Numel,11429
Heracross,3228
Goldeen,11226
Trubbish,11363
Cherubi,11381
Foongus,11266
Poltchageist,11334
Toxicroak,11171
Cranidos,29008
Snivy,7978
Exploud,7943
Ursaluna,11279
Braviary-Hisuian,3240
Gogoat,11455
Rattata,11314
Eternamax Eternatus,3168
Dewgong,11249
Doduo,11357
Zoroark-Hisuian,8364
Basculin (Red-Striped),11337
Fraxure,3250
Tepig,8099
Mienshao,8082
Dondozo,3174
Arceus-Steel,3268
Plusle,11351
Camerupt,11214
Absol,8153
Primeape,11441
Sunkern,8166
Deerling,11213
Revavroom,11349
Mega Sableye,8079
Dottler,11239
Tandemaus,16191
Marowak,11408
Yamask,11361
Voltorb-Hisuian,11389
Monferno,7982
Wattrel,7910
Dipplin,29030
Lechonk,11188
Grookey,8179
Chien-Pao,3175
Garchomp,3281
Rockruff,11248
Mega Manectric,3246
Breloom,22623
Skorupi,3219
Carkol,8041
Mantyke,3292
Clefairy,16029
Samurott-Hisuian,8126
Zubat,11138
Bellibolt,11314
Hitmonlee,11361
Lokix,11243
Beartic,11409
Mega Abomasnow,3290
Torchic,8120
Sunflora,8199
Revavroom -Segin,11417
Miltank,3238
Mega Steelix,11422
Ash-Greninja,8143
Pangoro,11323
Morgrem,11345
Wartortle,7945
Nincada,28904
Munna,16312
Mega Blaziken,8018
Arcanine-Hisuian,3191
Sawk,11354
Rapidash,11216
Sylveon,11230
Silvally-Fire,3236
Pelipper,11224
Mawile,16290
Revavroom -Ruchbah,11288
Slakoth,3262
Baltoy,11394
Geodude,8100
Cherrim-Sunshine,11276
Sandygast,11259
Coalossal,7950
Scatterbug,11617
Omanyte,11329
Nidoqueen,8050
Cursola,16245
Ampharos,8012
Pheromosa,3236
Shellder,3286
Mightyena,11203
Noivern,11345
Gliscor,8081
Burmy,11238
Celesteela,3183
Swablu,29292
Wimpod,11131
Vespiquen,8056
Bramblin,11275
Elgyem,11066
Mimikyu,11236
Silvally-Dark,3299
Kingambit,11350
Cetitan,8175
Electivire,11496
Cinccino,16284
Krabby,11466
Sirfetch'd,11458
Azumarill,16256
Aegislash-Blade,11295
Golem-Alolan,8028
Ludicolo,8152
Pineco,11402
Incineroar,8203
Bewear,11274
Claydol,11075
Rockruff-Own Tempo,11309
Pincurchin,11430
Scyther,11269
Lurantis,11309
Quagsire,11259
Venonat,11287
Weavile,8173
Slowking,11406
Snover,3245
Togepi,16366
Slugma,11189
Chesnaught,8019
Shroodle,8115
Porygon-Z,11421
Mandibuzz,3254
Makuhita,22714
Ralts,3258
Palafin -Zero Form,3214
Drizzile,8030
Vikavolt,11410
Vaporeon,11497
Klawf,11361
Kilowattrel,8105
Quaquaval,7994
Murkrow,8021
Persian-Alolan,11337
Gorebyss,29009
Anorith,28758
Honchkrow,8007
Solrock,16277
Eevee,11308
Whimsicott,11418
Grumpig,16111
Tangela,11173
Pumpkaboo-Average,10997
Latios,3142
Electrode,11462
Stunky,11295
Steelix,11324
Patrat,11336
Shellos,11288
Blissey,16116
Whismur,8142
Yanma,11238
Gourgeist-Small,11278
Omastar,11211
Morelull,11222
Aipom,16059
Lotad,8056
Budew,8096
Linoone-Galarian,11246
Seel,11409
Basculegion-Female,11163
Gothitelle,8179
Gossifleur,11232
Naganadel,3254
Farfetch'd,11086
Hippopotas,3321
Flittle,8079
Flareon,11376
Zorua-Hisuian,8152
Samurott,8111
Torkoal,11257
Heatran,3248
Gligar,8111
Liepard,11193
Hatenna,3218
Fletchinder,7971
Hawlucha,11180
Nosepass,11123
Luxray,8085
Castform,11265
Ekans,11245
Kartana,3227
Swanna,11377
Mewtwo,3200
Tyrogue,11286
Simipour,11282
Jellicent,11185
Tyranitar,3192
Butterfree,11219
Bounsweet,8117
Wormadam-Trash,11184
Wugtrio,11312
Smoliv,7991
Groudon,3193
Voltorb,11345
Appletun,29161
Impidimp,11330
Guzzlord,3117
Spinda,15958
Slowbro-Galarian,11288
Alcremie,11377
Quaxly,7981
Electabuzz,11298
Raticate,11239
Ambipom,15982
Raticate-Alolan,11333
Palkia,3264
Diglett,11312
Hitmonchan,11364
Mega Mawile,16113
Joltik,11387
Sandile,8135
Unown,11196
Seaking,11341
Haunter,8149
Mega Latias,3200
Great Tusk,3185
Genesect,3216
Gloom,8049
Bastiodon,29149
Mime Jr.,11332
Grimer,11182
Elekid,11187
Psyduck,11425
Hypno,11203
Muk-Alolan,11440
Sandy Shocks,3257
Xatu,11364
Mega Glalie,11346
Basculin (White-Striped),11472
Nacli,8153
Gourgeist-Large,11312
Lunatone,16277
Mega Latios,3207
Ninetales-Alolan,11345
Mabosstiff,8011
Avalugg-Hisuian,11339
Swinub,3216
Slowking-Galarian,11394
Clobbopus,8134
Jynx,11268
Karrablast,11238
Minior-Core,7993
Oshawott,8137
Sneasler,8133
Ledian,15881
Munchlax,3246
Ninetales,11248
Darmanitan Zen-Galarian,8018
Dugtrio-Alolan,11275
Marill,16197
Shedinja,29223
Falinks,11199
Qwilfish,11274
Diggersby,11217
Toucannon,11412
Cacnea,7968
