Encounter_Number,Pokemon,Catch_Successful,Is_New_Shiny
1327,Luvdisc,True,True
4544,Tinkaton,False,True
8864,Samurott,False,True
22566,Patrat,True,True
32954,Unown,True,True
39104,Wynaut,False,True
42486,Staraptor,False,True
45018,Shedinja,False,True
49435,Sewaddle,True,True
49986,Annihilape,True,True
57143,Ursaluna,False,True
68403,Gorebyss,False,True
77215,Polteageist,False,True
80361,Oricorio-Pom Pom,False,True
92909,Deerling,False,True
106797,Crawdaunt,True,True
108334,Slowpoke,True,True
111826,Lumineon,False,True
113483,Bellibolt,False,True
119956,Glaceon,True,True
122314,Cinccino,False,True
129219,Rampardos,False,True
129847,Lycanroc (Midnight),True,True
130202,Purrloin,True,True
138347,Mega Audino,True,True
149815,Bounsweet,True,True
151141,Snom,True,True
151441,Kirlia,False,True
154688,Silvally-Bug,False,True
158955,Yamper,True,True
162646,Swablu,True,True
164506,Applin,True,True
165781,Keldeo,False,True
173324,Hoppip,True,True
174727,Wooloo,True,True
176485,Feebas,True,True
182330,Audino,True,True
184841,Greninja,False,True
188009,Furfrou,False,True
189601,Dewpider,True,True
200729,Patrat,True,False
202833,Kabutops,False,True
210118,Mankey,True,True
210137,Polteageist,False,True
212028,Muk-Alolan,False,True
218055,Dipplin,False,True
231985,Chingling,False,True
232135,Seel,True,True
232712,Staravia,False,True
234573,Liepard,False,True
252341,Swablu,True,False
255586,Sandaconda,False,True
257740,Yamper,True,False
261607,Spheal,True,True
269823,Clefable,False,True
273236,Ninjask,True,True
278549,Growlithe,True,True
280087,Torchic,False,True
280722,Bellossom,False,True
282784,Piplup,False,True
284829,Castform-Rainy,False,True
299052,Shelgon,False,True
300859,Swablu,True,False
302124,Binacle,True,True
303851,Landorus-T,False,True
305677,Greavard,False,True
305699,Oricorio-Sensu,True,True
307485,Golett,True,True
310841,Oricorio-Pa'u,True,True
310942,Wishiwashi-School,False,True
314822,Stunfisk,True,True
315974,Pumpkaboo-Average,True,True
315989,Meowscarada,False,True
316192,Mime Jr.,False,True
317003,Bayleef,False,True
326240,Slowpoke,True,False
327103,Pelipper,False,True
331868,Dipplin,False,True
334614,Toxicroak,True,True
338128,Karrablast,True,True
338148,Raboot,False,True
344993,Croconaw,False,True
353190,Squawkabilly -Green/Blue,True,True
357914,Bouffalant,False,True
371455,Jynx,False,True
372856,Yamper,True,False
377889,Morpeko,True,True
381986,Magmar,False,True
383634,Applin,True,False
386713,Nincada,True,True
389462,Giratina-Origin,False,True
390990,Volbeat,True,True
392986,Ampharos,True,True
393318,Pansear,False,True
393649,Sinistea,True,True
394720,Gourgeist-Large,False,True
396615,Enamorus-T,False,True
397269,Vaporeon,False,True
398801,Durant,False,True
399715,Pumpkaboo-Small,True,True
399847,Ludicolo,False,True
402525,Dusknoir,False,True
404341,Deoxys-Defense,False,True
405570,Scizor,False,True
408390,Kakuna,False,True
410494,Mega Audino,True,False
411734,Drifloon,False,True
415804,Pancham,True,True
418087,Vulpix,True,True
418308,Nickit,True,True
418350,Feraligatr,False,True
419758,Luxray,False,True
421610,Zoroark-Hisuian,False,True
423383,Meowth-Galarian,True,True
448871,Alakazam,False,True
451704,Happiny,True,True
453913,Clamperl,True,True
454211,Mr. Mime,False,True
454764,Bastiodon,False,True
458953,Elekid,False,True
460923,Boltund,False,True
462609,Rhyperior,True,True
464279,Mega Absol,False,True
465255,Mr. Rime,False,True
465560,Primeape,False,True
469918,Bouffalant,False,True
473467,Rapidash,False,True
476172,Blissey,False,True
478868,Persian-Alolan,True,True
478879,Ledyba,True,True
488959,Grovyle,False,True
489632,Rotom-Mow,False,True
490226,Pumpkaboo-Large,False,True
494286,Palossand,True,True
494449,Watchog,True,True
500867,Sandaconda,False,True
505956,Wooper -Paldean,True,True
514401,Silvally-Electric,False,True
514688,Coalossal,False,True
515392,Wobbuffet,False,True
517274,Fearow,True,True
524104,Smoochum,False,True
527901,Magnemite,True,True
528949,Aegislash-Shield,True,True
542328,Mega Audino,True,False
543593,Quilladin,False,True
545113,Doublade,True,True
549055,Gourgeist-Large,False,True
550271,Feebas,True,False
552866,Dragalge,False,True
552891,Mega Venusaur,False,True
555168,Numel,True,True
555917,Buizel,False,True
559722,Cetoddle,False,True
567643,Chesnaught,False,True
570930,Corsola-Galarian,True,True
573802,Greedent,False,True
576416,Mega Beedrill,False,True
582175,Flittle,False,True
587305,Sprigatito,False,True
587808,Mantine,False,True
589614,Azurill,True,True
590681,Kingler,False,True
592827,Darmanitan-Galarian,False,True
595061,Wooloo,True,False
598091,Indeedee-Female,True,True
603357,Latios,False,True
613546,Cresselia,False,True
615878,Ditto,False,True
625912,Yungoos,True,True
628614,Clefable,False,True
631428,Morgrem,False,True
640443,Togepi,True,True
640927,Parasect,False,True
655165,Ursaluna,False,True
655246,Hitmonlee,False,True
655773,Vigoroth,True,True
662460,Mega Audino,True,False
663152,Elekid,False,True
664666,Honedge,False,True
667185,Swirlix,True,True
675127,Deoxys,False,True
678155,Sandygast,True,True
680187,Hydrapple,False,True
681180,Toedscool,False,True
685339,Magearna,False,True
686989,Chespin,False,True
695372,Inteleon,False,True
695494,Nosepass,True,True
695888,Mega Beedrill,False,True
697945,Kangaskhan,False,True
702695,Mudkip,True,True
704920,Wishiwashi-School,False,True
705550,Finneon,True,True
712463,Linoone,False,True
714789,Weezing,True,True
719528,Fearow,False,False
720700,Seadra,False,True
738158,Kingambit,False,True
740398,Meowstic ♂,False,True
745550,Raichu-Alolan,False,True
745762,Mawile,False,True
754535,Sigilyph,False,True
767650,Magby,False,True
770353,Druddigon,False,True
773782,Vaporeon,True,True
774146,Aipom,False,True
775794,Frigibax,False,True
776839,Electivire,False,True
781482,Porygon,False,True
784674,Camerupt,False,True
784936,Pumpkaboo-Average,True,False
796652,Kyurem,False,True
797307,Ferroseed,True,True
800546,Meditite,False,True
805729,Joltik,True,True
806852,Rockruff,True,True
810377,Lurantis,False,True
813843,Ferrothorn,False,True
818262,Lileep,False,True
828594,Slowking-Galarian,False,True
835106,Qwilfish-Hisuian,False,True
835317,Squawkabilly -Yellow/White,False,True
838716,Marowak-Alolan,True,True
