Pokemon,Encounters
Slowbro,523
Mega Camerupt,472
Jolteon,445
Grimmsnarl,459
Beautifly,488
Trevenant,484
Koffing,464
Unfezant,330
Rapidash-Galarian,428
Misdreavus,682
Throh,491
Spoink,675
Barboach,457
Enamorus-I,135
Klang,369
Blipbug,483
Chimecho,734
Roggenrola,317
Porygon2,504
Rhydon,144
Mega Houndoom,141
Arboliva,301
Vulpix,456
Meowth,474
Rampardos,1219
Regice,136
Yungoos,485
Dunsparce,475
Drampa,492
Azurill,679
Rolycoly,319
Oricorio-Pa'u,501
Machop,293
Flapple,1247
Alomomola,692
Sandshrew-Alolan,474
Hydreigon,158
Teddiursa,507
Indeedee-Female,658
Arceus-Fighting,126
Swadloon,344
Espurr,477
Yanmega,463
Fomantis,464
Comfey,687
Marowak-Alolan,468
Hippowdon,130
Scorbunny,337
Applin,1176
Sizzlipede,465
Honedge,449
Spidops,1261
Granbull,678
Shroomish,920
Purugly,676
Huntail,1170
Audino,663
Corviknight,351
Infernape,331
Mega Altaria,1229
Mega Banette,696
Crobat,454
Clamperl,1208
Aurorus,496
Vibrava,378
Duskull,709
Toxel,329
Corsola,652
Meloetta-Pirouette,129
Crabrawler,493
Cyclizar,330
Sandaconda,468
Lilligant,477
Sudowoodo,465
Bisharp,493
Indeedee-Male,660
Snubbull,711
Accelgor,440
Magcargo,461
Toxapex,481
Archeops,480
Skiddo,483
Krookodile,346
Chingling,679
Arceus-Water,137
Finneon,1203
Gengar,338
Kabuto,448
Volbeat,1243
Qwilfish-Hisuian,424
Silvally-Electric,133
Tarountula,1216
Raichu-Alolan,491
Phione,121
Cradily,1200
Pikipek,454
Scrafty,457
Skeledirge,335
Meditite,473
Pachirisu,482
Klefki,677
Vanilluxe,143
Revavroom -Caph,495
Illumise,920
Hydrapple,1230
Togedemaru,485
Iron Jugulis,153
Riolu,326
Tinkatink,357
Zangoose,1243
Politoed,362
Mareep,361
Veluza,673
Scovillain,474
Ferroseed,493
Tadbulb,505
Vulpix-Alolan,480
Goomy,134
Mega Medicham,471
Skuntank,488
Klink,306
Armaldo,1187
Sneasel,300
Cetoddle,339
Woobat,496
Malamar,473
Smeargle,665
Lileep,1202
Spiritomb,490
Zigzagoon,470
Weezing-Galarian,483
Drednaw,452
Pecharunt,150
Igglybuff,654
Jangmo-o,127
Rookidee,344
Chansey,681
Charjabug,472
Amoonguss,511
Trumbeak,461
Skitty,712
Slowpoke-Galarian,473
Raboot,381
Garganacl,327
Wailord,970
Gulpin,991
Thundurus-I,135
Nidoran♂,369
Smoochum,495
Watchog,500
Pansear,466
Carracosta,513
Simisage,518
Delcatty,667
Lycanroc (Midday),476
Wormadam-Plant,523
Growlithe,139
Floatzel,455
Kecleon,335
Squawkabilly -Green/Blue,1228
Marshtomp,315
Kangaskhan,473
Roserade,361
Rotom-Mow,466
Corphish,935
Phanpy,481
Lilligant-Hisuian,456
Lillipup,359
Centiskorch,456
Bonsly,466
Sinistea,487
Kingdra,508
Cubone,478
Ninjask,1234
Inkay,468
Probopass,503
Houndoom,131
Sawsbuck,468
Fletchling,374
Oddish,324
Dusknoir,715
Luvdisc,705
Milotic,1188
Venomoth,487
Bruxish,467
Mega Salamence,143
Noctowl,436
Conkeldurr,340
Umbreon,506
Porygon,447
Wigglytuff,654
Dusclops,676
Wishiwashi-School,647
Beedrill,461
Farfetch'd-Galarian,489
Yamper,736
Lumineon,1206
Mr. Mime-Galarian,443
Deoxys-Attack,133
Boltund,648
Shelmet,470
Wooper -Paldean,443
Dachsbun,335
Poochyena,447
Mew,348
Meowstic ♂,452
Minccino,734
Arceus-Electric,144
Tangrowth,499
Altaria,1239
Pawmi,450
Forretress,451
Zorua,365
Mankey,475
Buneary,456
Thievul,651
Stunfisk,429
Heliolisk,506
Poliwrath,317
Archen,506
Seismitoad,339
Meganium,331
Duosion,326
Feebas,1211
Inteleon,323
Runerigus,460
Drifblim,986
Eelektrik,123
Overqwil,483
Golisopod,492
Arceus-Fairy,142
Cufant,454
Croagunk,450
Wobbuffet,472
Frogadier,351
Morpeko,476
Slowpoke,468
Bibarel,484
Dustox,493
Numel,480
Heracross,139
Goldeen,440
Trubbish,518
Cherubi,463
Foongus,478
Poltchageist,477
Toxicroak,472
Cranidos,1169
Snivy,373
Exploud,329
Ursaluna,465
Braviary-Hisuian,148
Gogoat,475
Rattata,468
Eternamax Eternatus,127
Dewgong,434
Doduo,468
Zoroark-Hisuian,359
Basculin (Red-Striped),435
Fraxure,144
Tepig,344
Mienshao,328
Dondozo,142
Arceus-Steel,122
Plusle,478
Camerupt,464
Absol,322
Primeape,456
Sunkern,308
Deerling,446
Revavroom,496
Mega Sableye,340
Dottler,496
Tandemaus,673
Marowak,466
Yamask,487
Voltorb-Hisuian,500
Monferno,340
Wattrel,335
Dipplin,1263
Lechonk,462
Grookey,348
Chien-Pao,146
Garchomp,123
Rockruff,490
Mega Manectric,137
Breloom,931
Skorupi,150
Carkol,352
Mantyke,130
Clefairy,669
Samurott-Hisuian,324
Zubat,451
Bellibolt,485
Hitmonlee,472
Lokix,470
Beartic,469
Mega Abomasnow,116
Torchic,305
Sunflora,332
Revavroom -Segin,510
Miltank,139
Mega Steelix,484
Ash-Greninja,362
Pangoro,491
Morgrem,480
Wartortle,371
Nincada,1258
Munna,647
Mega Blaziken,389
Arcanine-Hisuian,166
Sawk,459
Rapidash,452
Sylveon,467
Silvally-Fire,136
Pelipper,495
Mawile,704
Revavroom -Ruchbah,447
Slakoth,149
Baltoy,487
Geodude,357
Cherrim-Sunshine,424
Sandygast,480
Coalossal,329
Scatterbug,456
Omanyte,520
Nidoqueen,340
Cursola,690
Ampharos,376
Pheromosa,138
Shellder,150
Mightyena,440
Noivern,469
