Pokemon,Shiny Encounters
Shinx,1
Joltik,1
Sharpedo,1
Beedrill,1
Flareon,1
Floette,1
Rookidee,1
Hariyama,1
Pineco,1
Teddiursa,1
Corphish,1
Makuhita,1
Tinkatuff,1
Ducklett,1
Mega Altaria,1
Pikipek,2
Doduo,1
Riolu,1
Exploud,1
Zebstrika,1
Scovillain,1
Ponyta,1
Unown,1
Sewaddle,1
Smoochum,1
Clamperl,1
Furfrou,1
Igglybuff,1
Spewpa,1
Herdier,1
Spinda,1
Spinarak,1
Applin,1
Cyclizar,2
Solosis,1
Indeedee-Male,1
Mega Pinsir,1
Munna,1
Skrelp,1
Tarountula,1
Wugtrio,1
Nacli,1
Wooloo,1
Mega Camerupt,1
Oricorio-Sensu,1
Marill,1
